MMSI,BaseDateTime,SOG,COG,LON,LAT
311000580,2025-08-02 03:57:13.900811+00:00,0.0,177.4,103.75718333333333,1.1673550000000001
563175300,2025-08-02 03:57:13.921909+00:00,0.0,198.5,103.77187666666667,1.1816633333333333
477928300,2025-08-02 03:57:14.004997+00:00,0.0,218.6,103.94192333333334,1.2814633333333334
563029950,2025-08-02 03:57:14.013384+00:00,0.3,360.0,103.76053666666667,1.2914183333333333
416001858,2025-08-02 03:59:25.207744+00:00,0.0,282.3,120.295675,22.60929666666667
477997154,2025-08-02 03:59:14.880548+00:00,0.0,60.4,114.149455,22.319253333333332
477937500,2025-08-02 03:59:14.966821+00:00,0.0,140.5,114.15280333333334,22.288441666666664
353757000,2025-08-02 03:57:14.598770+00:00,0.1,355.5,103.79722666666666,1.244895
563147700,2025-08-02 03:59:15.651755+00:00,6.7,253.0,103.73137666666666,1.2851266666666668
567072700,2025-08-02 03:57:15.253173+00:00,0.0,238.2,100.5759,13.572913333333334
341712001,2025-08-02 03:59:16.120835+00:00,0.0,302.8,103.87046166666667,1.2543883333333334
636024095,2025-08-02 03:57:15.310375+00:00,0.1,226.8,104.01345333333333,1.2927466666666667
563035290,2025-08-02 03:57:15.330714+00:00,0.1,360.0,103.85426833333332,1.2712366666666666
416007462,2025-08-02 03:59:15.784111+00:00,1.8,273.8,121.81689333333334,25.192696666666667
357650000,2025-08-02 03:59:16.460401+00:00,8.8,70.4,103.89989999999999,1.2070833333333333
563071320,2025-08-02 03:59:17.874133+00:00,6.0,197.9,103.79451333333333,1.264315
525003540,2025-08-02 03:59:16.655512+00:00,0.0,360.0,103.80702666666666,1.223125
416000041,2025-08-02 03:59:17.451399+00:00,3.5,304.9,120.27948166666667,22.616986666666666
413762726,2025-08-02 03:57:15.935686+00:00,5.8,285.8,114.1216,22.328108333333333
416012309,2025-08-02 03:57:15.954110+00:00,0.0,360.0,120.27644000000001,22.618763333333334
566746000,2025-08-02 03:58:28.132853+00:00,0.1,213.4,103.72622166666666,1.217615
520431000,2025-08-02 03:57:16.026105+00:00,0.0,360.0,103.757315,1.2994833333333333
419000531,2025-08-02 03:57:16.118814+00:00,0.0,163.9,76.26720333333333,9.944476666666667
565957000,2025-08-02 03:58:16.249799+00:00,7.6,240.2,103.74541500000001,1.2650583333333332
636093030,2025-08-02 03:59:18.032584+00:00,5.4,21.6,103.771945,1.2648916666666667
416002258,2025-08-02 03:57:16.781018+00:00,11.0,346.1,121.96686166666667,24.83907
477632900,2025-08-02 03:58:48.999392+00:00,10.9,23.0,122.16760166666667,24.867045
